HORA,FECHA,CATEGORIA,ID,YT,IG,TT,TH,X,TITULO,EDITOR,FORMATO,LINK,VERSION
18:00,2025-04-12,NOTICIA MARTÍN,MMB2540147,true,true,false,false,false,MARTIN El lugar más peligroso para cruzar a Estados Unidos,Elihu González,Video Listo (REEL),https://youtube.com/shorts/0fpwwoc4g4s,v1
19:00,2025-04-12,DULCE,DUB2530558,true,true,false,false,true,E esposo de Jenni sale de la cárcel,Ricardo Vizcarra,Video Listo (REEL),https://youtu.be/gCJNN8heEhk,v1
9:00,2025-04-13,HACKS,RLOB2540110,true,true,true,true,false,Cómo estacionarte en reversa,Arcel Baldeas,Video Listo (REEL),https://youtu.be/SgtgY_hSAdk,v1
10:00,2025-04-13,HACKS,RLOB2530344,true,true,true,false,false,Bolso secreto en pantalon,Ricardo Vizcarra,Video Listo (REEL),https://youtube.com/shorts/WTQ_E5Rqeo,v1
10:15,2025-04-13,MIROSLAVA,MIRB2530449,true,true,true,false,false,El emprendedor de Tijuana que fue rechazado en Shark Tank,Hernandez Quiñonez,Video Listo,,v1
10:30,2025-04-13,APROBADO,PRB2540228,true,true,true,false,false,PROMO LUMI Café: Confía en tu proceso ❤️‍🩹,Selene Dominguez,Video Listo (REEL),https://youtube.com/shorts/-h10Ltm11U,v1
10:30,2025-04-13,VICTOR SERRANO,VST2540231,true,true,true,false,false,Si Dios te quita todo es por que tiene algo mejor para ti 🙏,Gamaliel Alvarez,Aprobado,https://youtube.com/shorts/4f4eGa05HPU,v1
11:00,2025-04-13,DULCE,DUB2540217,true,true,true,false,false,La historia detrás de Tito Doble P,Michelle Sandoval,Video Listo (REEL) v2,https://youtube.com/shorts/NiDhJFKeN8,v1
12:00,2025-04-13,HACKS,RLOB2530409,true,true,true,false,true,Truco para cortar tu verdura,Fabian Garcia,Video Listo (REEL),https://youtube.com/shorts/RO3CW0ozo,v1
13:00,2025-04-13,DULCE,DUB2540193,true,true,true,false,true,Hombre embaraza a su novia y a su suegra,Michelle Sandoval,Video Listo (REEL),https://youtube.com/shorts/7h-Zo_FjUZg,v1
14:00,2025-04-13,REPORTAJE,RLOB2540188,true,true,true,false,false,Así luce hoy la casa abandonada de Cantinflas,Antonio Rivera,Video Listo (REEL),https://youtube.com/shorts/YFyhmoYazTQ,v1
14:30,2025-04-13,APROBADO,PRB2540229,true,true,true,false,false,PROMO LUMI Café: A veces es mejor quedarse en silencio,Selene Dominguez,Video Listo (REEL),https://youtube.com/shorts/Fwr3n6ppkUk,v1
15:00,2025-04-13,DULCE,DUB2540182,true,true,true,false,false,Así son los ultrasonidos 6D,Sergio Uribe,Video Listo,https://youtube.com/shorts/uikt1jsOM,v1
16:00,2025-04-13,DULCE,DUB2540051,true,true,true,true,false,Así viven las millonarias en Méico,Sergio Uribe,Video Listo v2,https://youtu.be/KtT1FbPN1v0,v2
16:30,2025-04-13,APROBADO,PRB2540106,true,true,true,false,false,"PROMO EValencia: Si te separas de tu esposo, tienes derecho a una pensión",Emmanuel Alvarez,Video Listo (REEL) v2,https://youtube.com/shorts/kpbmdevMUWY,v2
17:00,2025-04-13,911,ALGB2540199,true,true,false,false,true,Tu perro podría estar en peligro,Elihu Gonzalez,Video Listo,https://youtube.com/shorts/r-ds-v2YuGI,v1
17:30,2025-04-13,VICTOR SERRANO,VST2540242,true,true,true,false,false,Las tlayudas de Oaaca son las mejores del mundo,Gamaliel Alvarez,Video Listo (TALENTO),https://youtu.be/Ii9cTolMFtk,v1
18:00,2025-04-13,DULCE,DUB2540144,true,true,true,false,false,¿Revelan el oscuro secreto de Belinda?,Sergio Uribe,Video Listo v2,https://youtube.com/shorts/VyMq45SGGc,v2
9:00,2025-04-14,HACKS,RLOB2540116,true,true,true,false,false,No hagas esto con tu carro,Fabian Garcia,Video Listo (REEL),https://youtube.com/shorts/oQ4qWFGCRi4,v1
12:00,2025-04-14,APROBADO,MKTB2520304,true,true,true,false,false,MKT DAcosta: Los niños más inteligentes de Nuevo León no tienen computadora,Mauricio Gomez,Video Listo (REEL) v2,https://youtube.com/shorts/Un8AQbQuEPU,v2
15:30,2025-04-14,VICTOR SERRANO,VST2540282,true,true,true,false,false,Dios te está preparando una sorpresa,Gamaliel Alvarez,Video Listo (TALENTO),https://youtube.com/shorts/gUbJbtBsWUY,v1
